Category: All categories

Week,distanciamento social: (Worldwide)
2019-12-01,0
2019-12-08,0
2019-12-15,2
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,2
2020-03-15,33
2020-03-22,62
2020-03-29,63
2020-04-05,54
2020-04-12,100
2020-04-19,71
2020-04-26,92
2020-05-03,89
2020-05-10,97
2020-05-17,76
2020-05-24,65
2020-05-31,72
2020-06-07,70
2020-06-14,76
2020-06-21,71
2020-06-28,62
2020-07-05,58
2020-07-12,45
2020-07-19,52
2020-07-26,60
2020-08-02,33
2020-08-09,47
2020-08-16,51
2020-08-23,32
2020-08-30,40
2020-09-06,37
2020-09-13,38
2020-09-20,45
2020-09-27,26
2020-10-04,44
2020-10-11,30
2020-10-18,33
2020-10-25,34
2020-11-01,34
2020-11-08,34
2020-11-15,31
2020-11-22,45
2020-11-29,25
2020-12-06,25
2020-12-13,41
2020-12-20,18
2020-12-27,16
2021-01-03,17
2021-01-10,25
2021-01-17,22
2021-01-24,30
2021-01-31,20
2021-02-07,40
2021-02-14,33
2021-02-21,37
2021-02-28,33
2021-03-07,45
2021-03-14,60
2021-03-21,57
2021-03-28,28
2021-04-04,24
2021-04-11,29
2021-04-18,34
2021-04-25,33
2021-05-02,30
2021-05-09,24
2021-05-16,19
2021-05-23,36
2021-05-30,19
2021-06-06,43
