Category: All categories

Week,vacina: (Worldwide)
2019-12-01,4
2019-12-08,3
2019-12-15,4
2019-12-22,3
2019-12-29,3
2020-01-05,5
2020-01-12,5
2020-01-19,5
2020-01-26,6
2020-02-02,5
2020-02-09,10
2020-02-16,6
2020-02-23,6
2020-03-01,7
2020-03-08,13
2020-03-15,30
2020-03-22,27
2020-03-29,16
2020-04-05,12
2020-04-12,16
2020-04-19,12
2020-04-26,12
2020-05-03,14
2020-05-10,16
2020-05-17,23
2020-05-24,12
2020-05-31,13
2020-06-07,12
2020-06-14,11
2020-06-21,12
2020-06-28,15
2020-07-05,11
2020-07-12,16
2020-07-19,17
2020-07-26,13
2020-08-02,12
2020-08-09,15
2020-08-16,11
2020-08-23,10
2020-08-30,11
2020-09-06,12
2020-09-13,10
2020-09-20,10
2020-09-27,10
2020-10-04,10
2020-10-11,12
2020-10-18,16
2020-10-25,13
2020-11-01,8
2020-11-08,13
2020-11-15,11
2020-11-22,10
2020-11-29,14
2020-12-06,21
2020-12-13,23
2020-12-20,22
2020-12-27,18
2021-01-03,26
2021-01-10,26
2021-01-17,66
2021-01-24,31
2021-01-31,30
2021-02-07,27
2021-02-14,21
2021-02-21,26
2021-02-28,35
2021-03-07,34
2021-03-14,41
2021-03-21,54
2021-03-28,52
2021-04-04,55
2021-04-11,56
2021-04-18,56
2021-04-25,54
2021-05-02,66
2021-05-09,80
2021-05-16,75
2021-05-23,77
2021-05-30,81
2021-06-06,100
